date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:05	25788/25788	U-----	200	untouched ('')	image/png	etag:%2264bc-51f38faecb600%22	http://www.closethedoor.org.uk/files/8014/4170/4472/site_logo_2015_v1.png	www.closethedoor.org.uk/files/8014/4170/4472/site_logo_2015_v1.png	(from http://www.closethedoor.org.uk/)
14:27:06	26363/26363	U-----	200	untouched ('')	image/png	etag:%2266fb-4d4d576237380%22	http://www.closethedoor.org.uk/files/9313/5991/3182/topright-banner.png	www.closethedoor.org.uk/files/9313/5991/3182/topright-banner.png	(from http://www.closethedoor.org.uk/)
14:27:06	9240/9240	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:13%20GMT	http://www.closethedoor.org.uk/about-us/contact-us/	www.closethedoor.org.uk/about-us/contact-us/index.html	(from http://www.closethedoor.org.uk/)
14:27:06	19386/19386	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:13%20GMT	http://www.closethedoor.org.uk/about-us/faqs/	www.closethedoor.org.uk/about-us/faqs/index.html	(from http://www.closethedoor.org.uk/)
14:27:07	12650/12650	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:13%20GMT	http://www.closethedoor.org.uk/about-us/	www.closethedoor.org.uk/about-us/index.html	(from http://www.closethedoor.org.uk/)
14:27:07	10474/10474	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:14%20GMT	http://www.closethedoor.org.uk/about-us/materials/	www.closethedoor.org.uk/about-us/materials/index.html	(from http://www.closethedoor.org.uk/)
14:27:07	14547/14547	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:14%20GMT	http://www.closethedoor.org.uk/about-us/our-research/	www.closethedoor.org.uk/about-us/our-research/index.html	(from http://www.closethedoor.org.uk/)
14:27:07	11349/11349	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:14%20GMT	http://www.closethedoor.org.uk/get-involved/	www.closethedoor.org.uk/get-involved/index.html	(from http://www.closethedoor.org.uk/)
14:27:08	18370/18370	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:15%20GMT	http://www.closethedoor.org.uk/get-involved/retailers/	www.closethedoor.org.uk/get-involved/retailers/index.html	(from http://www.closethedoor.org.uk/)
14:27:08	11476/11476	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:15%20GMT	http://www.closethedoor.org.uk/support/	www.closethedoor.org.uk/support/index.html	(from http://www.closethedoor.org.uk/)
14:27:09	11679/11679	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:15%20GMT	http://www.closethedoor.org.uk/get-involved/campaigners/	www.closethedoor.org.uk/get-involved/campaigners/index.html	(from http://www.closethedoor.org.uk/)
14:27:09	11855/11855	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:15%20GMT	http://www.closethedoor.org.uk/get-involved/campaigners1/	www.closethedoor.org.uk/get-involved/campaigners1/index.html	(from http://www.closethedoor.org.uk/)
14:27:09	23005/23005	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:16%20GMT	http://www.closethedoor.org.uk/support/participating-retailers/	www.closethedoor.org.uk/support/participating-retailers/index.html	(from http://www.closethedoor.org.uk/)
14:27:10	42485/42485	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:16%20GMT	http://www.closethedoor.org.uk/support/endorsements/	www.closethedoor.org.uk/support/endorsements/index.html	(from http://www.closethedoor.org.uk/)
